,region,value
2297,74134,1
2299,10453,0
2302,33196,0
2306,20817,0
2310,77356,1
2313,17960,0
2314,73069,1
2317,97219,2
2318,32765,0
2319,92354,2
2320,31904,0
2322,78756,1
2324,95126,2
2330,85295,2
2331,92692,2
2332,46280,0
2334,19317,0
2336,35214,0
2343,21244,0
2344,84720,2
2345,90010,2
2346,90740,2
2347,48120,0
2348,90045,2
2351,19133,0
2353,91207,2
2354,01741,0
2356,48035,0
2357,08820,0
2358,85648,2
2362,18466,0
2364,39202,0
2365,91502,2
2370,52310,1
2371,40059,0
2374,91792,2
2375,02043,0
2376,31705,0
2377,89113,2
2379,80239,2
2382,94577,2
2385,08690,0
2386,24060,0
2388,15232,0
2389,06340,0
2392,91204,2
2394,14623,0
2396,97002,2
2397,02453,0
2398,92128,2
2399,10583,0
2400,78363,1
2403,19067,0
2404,77074,1
2407,12211,0
2409,30316,0
2410,90021,2
2412,32221,0
2415,94947,2
2421,99516,2
2428,43214,0
2431,04780,0
2432,27886,0
2433,90746,2
2440,54313,1
2443,60053,1
2444,60613,1
2445,06403,0
2447,27870,0
2448,77354,1
2449,93021,2
2453,46290,0
2456,60083,1
2459,06840,0
2461,33411,0
2463,97253,2
2465,75087,1
2467,17837,0
2471,10305,0
2472,07922,0
2477,06489,0
2478,84403,2
2479,33030,0
2480,98103,2
2481,75022,1
2482,90502,2
2483,17552,0
2484,33026,0
2485,57106,1
2486,31744,0
2487,23223,0
2488,66801,1
2489,02127,0
2491,02878,0
2492,11786,0
2493,11803,0
2494,63301,1
2495,95355,2
2496,23831,0
2497,60030,1
2499,01902,0
2500,90291,2
2501,01844,0
2502,34741,0
2503,30083,0
2505,36804,0
2506,20148,0
2507,07823,0
2508,43235,0
2511,75604,1
2512,54220,1
2513,75023,1
2517,73077,1
2518,01757,0
2519,16912,0
2520,01516,0
2521,32303,0
2524,10309,0
2525,97215,2
2528,10016,0
2529,77062,1
2531,54724,1
2532,02176,0
2533,01775,0
2534,21210,0
2535,92655,2
2536,91754,2
2537,85367,2
2538,27521,0
2541,44906,0
2544,73128,1
2546,93420,2
2548,79928,1
2549,32816,0
2551,15317,0
2552,60071,1
2553,95436,2
2554,95376,2
2555,89179,2
2556,30740,0
2557,10009,0
2558,78332,1
2561,80216,2
2563,77612,1
2565,44001,0
2571,37217,0
2572,33142,0
2573,21061,0
2575,32506,0
2576,77027,1
2577,10005,0
2579,02115,0
2580,66208,1
2581,21045,0
2582,99712,2
2583,94089,2
2584,84606,2
2585,91733,2
2586,90022,2
2588,91042,2
2590,04094,0
2592,07722,0
2593,39530,0
2594,90266,2
2595,48326,0
2596,91108,2
2597,32216,0
2598,90262,2
2600,55113,1
2601,94121,2
2603,78746,1
2605,97229,2
2606,14615,0
2608,61611,1
