SKU_1,SKU_2,#-Containing Orders
11047551,11919276,36
11054051,11919629,36
11054111,11054114,36
11054112,12145755,36
11054114,11060134,36
11079164,11079165,36
11916751,12694159,36
11922316,11922852,36
11922322,11922851,36
11922324,11922853,36
11922368,12694011,36
11922878,12171751,36
11922878,12175351,36
11922879,12042325,36
11922879,12203045,36
11948343,11948519,36
12097333,12097335,36
12182862,12438616,36
9791879,9891853,35
9791880,9791901,35
9891853,11079165,35
9891857,11911687,35
9908177,11057995,35
10024593,11047548,35
10327692,10432509,35
10340029,11362589,35
11047547,11047590,35
11047551,12162670,35
11054051,11951969,35
11054052,11948520,35
11054112,11948343,35
11129872,11948520,35
11713856,11919738,35
11897180,11919394,35
11916751,12693982,35
11916757,11921113,35
11917830,11919267,35
11917831,12008941,35
11922324,11948344,35
11922354,11922878,35
11922369,12182862,35
11922369,12694012,35
11948342,11948345,35
11948519,12499304,35
11948520,11961989,35
12044906,12275688,35
12275145,12512580,35
9891854,11911688,34
9891856,11911687,34
9891857,11079159,34
9891859,10433696,34
9891859,11079160,34
10024580,10340029,34
10024593,11111051,34
10024593,12042412,34
10024593,12275489,34
10470377,11653048,34
11047547,11580744,34
11047548,11920760,34
11047549,11863546,34
11047549,11919273,34
11047549,11922352,34
11047549,12275145,34
11054051,11922878,34
11054051,11961988,34
11054111,12168966,34
11054114,11951978,34
11129872,11536749,34
11231928,11231929,34
11916751,12203031,34
11916751,12203038,34
11916757,12203072,34
11916763,12203078,34
11916763,12203090,34
11922369,11922878,34
11922877,12042325,34
11922879,12162289,34
11948343,12543312,34
12044640,12044743,34
12053634,12053636,34
12057607,12694144,34
12097332,12209092,34
12182862,12182864,34
9891853,10433701,33
9891855,10433695,33
10191829,10191832,33
10340029,12275736,33
10343208,10343209,33
10470377,11922368,33
11047548,11912480,33
11047548,12174716,33
11047549,12184441,33
11047551,11047593,33
11054051,11948519,33
11054052,11916750,33
11054112,12543312,33
11111051,11904969,33
11111051,12187126,33
11713855,11924333,33
11713857,11922352,33
11916750,11916758,33
11916750,12694144,33
11922880,11948522,33
11948342,11948520,33
11948519,11948522,33
12042326,12423702,33
12053636,12053637,33
12053636,12053653,33
12057607,12057608,33
12057607,12203023,33
12182863,12666320,33
4212842,4212844,32
9891855,11911686,32
9891855,11911687,32
9891855,11911688,32
9891856,11404967,32
9908176,10441176,32
9908177,10207152,32
10024593,11111052,32
10281744,10724073,32
10327692,10327694,32
10340028,12044640,32
10340029,12044639,32
10340029,12543311,32
11054052,11922879,32
11054052,12175297,32
11054112,11951970,32
11054112,12175297,32
11713856,12008993,32
11897181,12203392,32
11916749,11922878,32
11916749,11948519,32
11916751,11917353,32
11916757,11922344,32
11916758,11921114,32
11919393,12300882,32
11919629,11922878,32
11921573,11922534,32
11922322,12694143,32
11922324,12203038,32
11924334,12233321,32
11948342,11948371,32
11948342,11948559,32
11948343,11961989,32
11948343,12505655,32
12053635,12053656,32
12097332,12424623,32
12097333,12275145,32
12097333,12300888,32
9891858,10433698,31
9891859,11079161,31
10327691,10327693,31
10327691,10432508,31
10340003,11362583,31
10340029,12276087,31
10343207,10343208,31
11047547,11919394,31
11047547,11919737,31
11054112,11054114,31
11054112,11800921,31
11054112,11922879,31
11054114,11961991,31
11713855,11897179,31
11713855,11919393,31
11901718,12499305,31
11916750,11922877,31
11916750,12171751,31
11919393,11922351,31
11919395,12300888,31
11919629,12201407,31
11919630,12201408,31
11921573,11921574,31
11922322,12694150,31
11922369,12694000,31
11922878,11922880,31
11922878,12172247,31
11922879,12097702,31
11922879,12175352,31
11922880,12203025,31
11922880,12694160,31
11924335,12183002,31
11948343,11948344,31
11948519,12158050,31
12057607,12203030,31
9891859,10433700,30
9908175,10441174,30
9908175,10441176,30
9908179,11057996,30
10024580,10340028,30
10283402,11922877,30
10340028,12044638,30
10340029,11129872,30
10340029,11363429,30
10340134,10340137,30
10343209,10343210,30
11047547,11291988,30
11047548,11800279,30
11047548,12008939,30
11047548,12184440,30
11047548,12275145,30
11047549,11916663,30
11047549,12097543,30
11054111,11558135,30
11054112,11961989,30
11054113,11916751,30
11713856,12172542,30
11916749,11922851,30
11916751,11916758,30
11922352,12190106,30
11922877,12694170,30
11922878,11953826,30
11922879,12042326,30
11924335,12097332,30
11948342,11948509,30
11948343,11948372,30
11948343,12172159,30
12042325,12276095,30
12097333,12424626,30
4212844,4212845,29
4267454,12044906,29
9791880,9891857,29
9891853,10191829,29
9891854,11404967,29
9891854,11911687,29
9891856,11911684,29
9908176,11057995,29
9908177,11057997,29
10024580,12042412,29
10024580,12275145,29
10024593,11912480,29
10327693,10432510,29
10340029,12503089,29
11047548,11922351,29
11047549,11291989,29
11047551,12008941,29
11054051,11558135,29
11054051,12171750,29
11054052,12175345,29
11054111,12619216,29
11054112,12175351,29
11054112,12526749,29
11054113,11951977,29
11111051,12275145,29
11713857,12172543,29
11713859,12161801,29
11897180,11897181,29
11916749,11922308,29
11916763,11916766,29
11919395,12008941,29
11919629,11919631,29
11922322,12099608,29
11922324,12099610,29
11922351,11922879,29
11922369,12099588,29
11922370,12182863,29
11922877,12499304,29
11922878,12693981,29
11922878,12694171,29
11948519,12151449,29
12053634,12053638,29
12097332,12183022,29
9791880,9891855,28
9791881,9791901,28
9891854,11404965,28
9891857,10433695,28
9891857,11911688,28
9891858,10433701,28
9908177,10441178,28
9908178,10207153,28
9908178,10441176,28
9908178,11057996,28
9908178,11057997,28
9908179,11057995,28
10024593,12275608,28
10340003,10340008,28
10340008,10340030,28
10340029,12044743,28
11047549,11916725,28
11054052,11060132,28
11054111,11961988,28
11054112,12168967,28
11111051,12275489,28
11129872,11129873,28
11129872,11948343,28
11129976,11129977,28
11129976,11948520,28
11129976,12164891,28
11231928,11231935,28
11713856,12427846,28
11713857,11919395,28
11713859,11897183,28
11916750,12042325,28
11919630,11919632,28
11922323,11948520,28
11922350,11922352,28
11922351,12209091,28
11922352,11924335,28
11922370,12056839,28
11922877,12694150,28
11922880,12694146,28
12042325,12275415,28
12042325,12276087,28
12044638,12044906,28
12044640,12423697,28
12097332,12300885,28
9891853,11404967,27
9891854,11911686,27
9891858,11079160,27
9908178,10441178,27
9908179,11057997,27
10024593,11047549,27
10281745,10282606,27
10327694,10432511,27
10340003,11363429,27
10340028,12044743,27
10340029,12276082,27
11047548,11047551,27
11047548,11047591,27
11054052,11291987,27
11054052,11951970,27
11054052,12097020,27
11054111,11054113,27
11054111,11519294,27
11054112,12042325,27
11054112,12526759,27
11054112,12690368,27
11060132,11919631,27
11129872,11922878,27
11129976,11916750,27
11713856,11917830,27
11713857,12008940,27
11713857,12162656,27
11916749,11916751,27
11916749,12203036,27
11916763,11922368,27
11919630,11922877,27
11922324,12693982,27
11922350,12097331,27
11922351,11924334,27
11922370,12203085,27
11922877,11948342,27
11922877,12097700,27
11922877,12175350,27
11922877,12693980,27
11922879,11948344,27
11922879,11948520,27
11922879,11948526,27
11924334,12275463,27
12042325,12044747,27
12042325,12276040,27
12042326,12044749,27
12097332,12097335,27
9891854,10191829,26
9891854,11404968,26
9891856,10191832,26
9908175,11057994,26
9908176,11057994,26
9908177,10441176,26
9908179,10441176,26
10024580,12275463,26
10024580,12275736,26
10281746,10282606,26
10340003,12042325,26
10340029,11922878,26
10340029,12275416,26
10432507,10432509,26
10470377,11922371,26
11047547,11047549,26
11047547,11917829,26
11047549,11110499,26
11047549,11580744,26
11047549,11920743,26
11054051,12175278,26
11054052,12175279,26
11054111,11919768,26
11054112,11916750,26
11054114,11948345,26
11111051,12190105,26
11897181,12008941,26
11916749,12099608,26
11916751,11922877,26
11916758,11920417,26
11917831,11919276,26
11919394,11919396,26
11919394,12008384,26
11919394,12008940,26
11919629,11922880,26
11919631,12201409,26
11922324,11948521,26
11922324,12162289,26
11922351,12008940,26
11922369,11922872,26
11922877,11948524,26
11922878,11948525,26
11922878,12097708,26
11922878,12162288,26
11922879,12693989,26
11948342,11961988,26
12042411,12275608,26
12053653,12305663,26
9791881,9791882,25
9891853,11911688,25
9891857,10191833,25
9891858,11079159,25
9908175,10441177,25
9908176,11057992,25
9908176,11057993,25
9908176,11057997,25
9908177,10207151,25
9908177,10441174,25
9908179,10441178,25
9908180,10441178,25
9908180,11057997,25
10024580,12275489,25
10024593,12042327,25
10024593,12275463,25
10327690,10327706,25
10340029,11948343,25
11047547,12008942,25
11047547,12161797,25
11047548,11919272,25
11047549,11919738,25
11047549,12161799,25
11047551,11919395,25
11054051,11901717,25
11054052,11519295,25
11054052,11546038,25
11054052,11558136,25
11054052,11901718,25
11054052,11961989,25
11054111,11948519,25
11054111,12171750,25
11054114,12175353,25
11111051,11912481,25
11111051,11919394,25
11129975,11129976,25
11129975,11922877,25
11713856,11922351,25
11713856,12008939,25
11713859,12008943,25
11901718,11901719,25
11916749,11916752,25
11916749,11921639,25
11916749,12694157,25
11916751,11948344,25
11916751,12099610,25
11916758,12203073,25
11916763,12099588,25
11919393,11922353,25
11919393,12008384,25
11919393,12097331,25
11922316,12203044,25
11922322,11922878,25
11922322,12203022,25
11922323,11922352,25
11922324,12203024,25
11922368,12182863,25
11922368,12182865,25
11922368,12182872,25
11922368,12693999,25
11922369,11922371,25
11922877,12171750,25
11922879,12694172,25
11922880,12203039,25
11948520,11948521,25
12044906,12471546,25
9791879,9791900,24
9791880,9891853,24
9891853,11491417,24
9891855,11404967,24
9891857,11911686,24
9891858,11079161,24
9908175,11057992,24
9908175,11057995,24
9908176,11057996,24
9908177,11057994,24
9908177,11057996,24
9908178,11057994,24
9908179,10441177,24
10024580,11111051,24
10281746,10281748,24
10281746,11922879,24
10327693,10327709,24
10340029,12275734,24
10343209,11047548,24
11047547,12008940,24
11047548,11111051,24
11047548,11580743,24
11047548,11920742,24
11047548,12097542,24
11047549,11654896,24
11047549,11919396,24
11047551,11291987,24
11047551,11580745,24
11047551,12184443,24
11054051,12042325,24
11054051,12499304,24
11054111,12499304,24
11054112,11916751,24
11054112,11948520,24
11054112,12008941,24
11054113,11519294,24
11054114,12170165,24
11111051,12097319,24
11129975,12164890,24
11713855,11713858,24
11713856,11919273,24
11713857,12233321,24
11713857,12275145,24
11897180,12161798,24
11916750,11948525,24
11916757,11919394,24
11919629,12201395,24
11922352,12209092,24
11922368,12099587,24
11948342,12499304,24
11948343,12130820,24
11948520,12172159,24
12044906,12503094,24
12053635,12053654,24
12275145,12424623,24
12276082,12276083,24
9891853,11404965,23
9891853,11911687,23
9891857,11911684,23
9891858,10433699,23
9891858,11911688,23
9908175,10441175,23
9908175,11057996,23
9908177,10441175,23
10024580,12042325,23
10281745,10724064,23
10283402,10724075,23
10327692,10327708,23
10340028,12044906,23
10340028,12276087,23
10340029,10953394,23
10340029,11129871,23
10340029,11362583,23
10340029,12503097,23
10343207,10343209,23
11047548,11897173,23
11047549,11912481,23
11047549,11920761,23
11047549,12172543,23
11054052,11800900,23
11054111,11951969,23
11054111,12042325,23
11054112,11519295,23
11054113,12175352,23
11054114,12499307,23
11713856,12008941,23
11916749,11953619,23
11916750,11916757,23
11916751,12057607,23
11916758,11921662,23
11916758,11921669,23
11916758,12317989,23
11916763,11922865,23
