SKU,Sum,Degrees,DIVISION
12300882,219,1,APP/FTW
11922534,682,1,APP/FTW
11948371,112,1,APP/FTW
11948559,115,1,APP/FTW
12505655,472,1,APP/FTW
12053656,502,1,APP/FTW
12424623,1178,2,APP/FTW
12300888,491,2,APP/FTW
11362583,754,2,HDW
11919737,858,1,APP/FTW
11800921,1258,1,APP/FTW
11961991,445,1,APP/FTW
12499305,652,1,APP/FTW
12201407,368,1,APP/FTW
12201408,410,1,APP/FTW
11921574,1166,1,APP/FTW
12694150,227,2,APP/FTW
12172247,731,1,APP/FTW
12097702,1062,1,APP/FTW
12175352,714,2,APP/FTW
12203025,309,1,APP/FTW
12694160,172,1,APP/FTW
10441174,289,2,APP/FTW
11057996,305,5,APP/FTW
11363429,922,2,HDW
10340137,732,1,HDW
10343210,1836,1,APP/FTW
11291988,736,1,APP/FTW
12184440,473,1,APP/FTW
11916663,770,1,APP/FTW
12097543,276,1,APP/FTW
11558135,837,2,APP/FTW
12172542,667,1,APP/FTW
12694170,155,1,APP/FTW
11953826,767,1,APP/FTW
11948509,166,1,APP/FTW
11948372,109,1,APP/FTW
12172159,356,2,APP/FTW
12424626,961,1,APP/FTW
4212845,1754,1,APP/FTW
11057997,565,5,APP/FTW
12503089,1236,1,HDW
12171750,860,3,APP/FTW
12175345,334,1,APP/FTW
12619216,556,1,APP/FTW
12526749,346,1,APP/FTW
11951977,277,1,APP/FTW
12172543,734,2,APP/FTW
12161801,246,1,APP/FTW
11922308,353,1,APP/FTW
11916766,456,1,APP/FTW
12099588,321,2,APP/FTW
12151449,255,1,APP/FTW
12183022,322,1,APP/FTW
11404965,469,2,APP/FTW
10441178,204,4,APP/FTW
10207153,587,1,APP/FTW
12275608,992,2,HDW
11916725,630,1,APP/FTW
12168967,195,1,APP/FTW
11129873,964,1,APP/FTW
11129977,1348,1,APP/FTW
12164891,321,1,APP/FTW
12427846,572,1,APP/FTW
12056839,163,1,APP/FTW
12694146,142,1,APP/FTW
12423697,811,1,HDW
10282606,778,2,APP/FTW
10432511,1473,1,APP/FTW
12526759,353,1,APP/FTW
12690368,412,1,APP/FTW
12162656,864,1,APP/FTW
12097331,904,2,APP/FTW
12203085,120,1,APP/FTW
12097700,362,1,APP/FTW
12693980,242,1,APP/FTW
11948526,462,1,APP/FTW
12276040,366,1,HDW
11404968,386,1,APP/FTW
11057994,235,4,APP/FTW
11917829,1061,1,APP/FTW
11110499,971,1,APP/FTW
11920743,469,1,APP/FTW
12175278,477,1,APP/FTW
12175279,519,1,APP/FTW
11920417,165,1,APP/FTW
12008384,628,2,APP/FTW
12201409,225,1,APP/FTW
12097708,626,1,APP/FTW
12162288,890,1,APP/FTW
12305663,609,1,APP/FTW
9791882,1461,1,APP/FTW
10191833,895,1,APP/FTW
10441177,236,2,APP/FTW
11057992,172,2,APP/FTW
11057993,232,1,APP/FTW
10207151,806,1,APP/FTW
12042327,884,1,HDW
10327706,685,1,APP/FTW
12008942,531,1,APP/FTW
11901717,1530,1,APP/FTW
11558136,931,1,APP/FTW
12175353,731,1,APP/FTW
11912481,1447,2,APP/FTW
11901719,1018,1,APP/FTW
11916752,1591,1,APP/FTW
11921639,469,1,APP/FTW
11922353,839,1,APP/FTW
12693999,200,1,APP/FTW
12694172,242,1,APP/FTW
12203039,202,1,APP/FTW
12471546,420,1,HDW
11491417,235,1,APP/FTW
10281748,295,1,APP/FTW
10327709,942,1,APP/FTW
12275734,595,1,HDW
11920742,488,1,APP/FTW
12097542,243,1,APP/FTW
11654896,228,1,APP/FTW
12184443,208,1,APP/FTW
12170165,276,1,APP/FTW
12097319,1009,1,APP/FTW
12164890,235,1,APP/FTW
11713858,1336,1,APP/FTW
12099587,169,1,APP/FTW
12130820,558,1,APP/FTW
12276083,629,1,HDW
10441175,168,2,APP/FTW
10724064,557,1,APP/FTW
10327708,964,1,APP/FTW
10953394,646,1,HDW
11129871,1579,1,APP/FTW
12503097,633,1,HDW
11897173,790,1,APP/FTW
11920761,528,1,APP/FTW
11800900,1216,1,APP/FTW
12499307,398,1,APP/FTW
11921662,361,1,APP/FTW
11921669,467,1,APP/FTW
